id,name,prefecture,city,other_address,access,tel,business_hour,hp,wifi,socket,smoking,iccard,lon,lat
27,カフェ コロラド 千歳船橋店,東京都,世田谷区,船橋１‐１１‐１２産興ビル,千歳船橋駅徒歩2分以上,03-3427-4340,"平日:09:30 - 20:30
土曜日:10:00 - 20:30
日祝:12:00 - 19:00",http://sasp.mapion.co.jp/b/doutor/info/07000056/,TRUE,FALSE,FALSE,FALSE,35.6472689,139.6225075
28,カフェ コロラド 川越店,埼玉県,川越市,新富町１‐９‐１２ＮＳプラザ川越３,本川越駅徒歩4分以上,049-226-6705,"平日:07:30 - 19:00
土曜日:07:30 - 19:00
日祝:07:30 - 19:00",http://sasp.mapion.co.jp/b/doutor/info/07000307/,TRUE,FALSE,FALSE,FALSE,35.916735,139.483396
29,カフェ コロラド 川崎大師店,神奈川県,川崎市,川崎区東門前３‐２‐１１,東門前駅徒歩4分以上,044-299-4982,"平日:09:00 - 18:30
土曜日:09:00 - 18:30
日祝:09:00 - 18:00",http://sasp.mapion.co.jp/b/doutor/info/07000094/,TRUE,FALSE,FALSE,FALSE,35.5342446,139.7361262
30,カフェ コロラド 浅草２丁目店,東京都,台東区,浅草２‐３２‐１０山崎ビル,浅草駅徒歩5分以上,03-3841-5136,"平日:08:00 - 20:00
土曜日:08:00 - 20:00
日祝:08:00 - 20:00",http://sasp.mapion.co.jp/b/doutor/info/07000191/,TRUE,FALSE,FALSE,FALSE,35.7156997,139.7983721
31,カフェ コロラド 大山店,東京都,板橋区,大山町４７‐５きくやビル２Ｆ,大山駅徒歩6分以上,03-3957-5701,"平日:08:30 - 17:00
土曜日:08:30 - 17:00
日祝:08:30 - 17:00",http://sasp.mapion.co.jp/b/doutor/info/07000334/,TRUE,FALSE,FALSE,FALSE,35.7489598,139.6980976
32,カフェ コロラド 池上店,東京都,大田区,池上６-２-２２,池上駅徒歩3分以内,03-3755-9202,"平日:08:00 - 21:00
土曜日:08:00 - 21:00
日祝:08:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/07000368/,TRUE,FALSE,FALSE,FALSE,35.572483,139.7023354
33,カフェ コロラド 中井駅前店,東京都,新宿区,中落合１‐２０‐１５,中井駅徒歩3分以内,03-3371-8607,"平日:08:00 - 20:00
土曜日:08:00 - 20:00
日祝:08:00 - 20:00",http://sasp.mapion.co.jp/b/doutor/info/07000250/,TRUE,FALSE,FALSE,FALSE,35.7148788,139.687639
34,カフェ コロラド 中目黒店,東京都,目黒区,上目黒２‐１‐３中目黒ＧＴプラザ,中目黒駅徒歩3分以内,03-3715-2821,"平日:09:00 - 20:30
土曜日:10:00 - 19:30
日祝:-",http://sasp.mapion.co.jp/b/doutor/info/07000349/,TRUE,FALSE,FALSE,FALSE,35.6432868,139.6986056
35,カフェ コロラド 調布店,東京都,調布市,布田１‐１‐２上條ビル,調布駅徒歩4分以上,042-482-9455,"平日:10:00 - 18:00
土曜日:10:00 - 18:00
日祝:-",http://sasp.mapion.co.jp/b/doutor/info/07000236/,TRUE,FALSE,FALSE,FALSE,35.6548746,139.5448858
36,カフェ コロラド 鶴巻温泉店,神奈川県,秦野市,鶴巻北２‐５‐１０,鶴巻温泉駅徒歩2分以上,0463-77-3834,"平日:10:00 - 19:00
土曜日:10:00 - 19:00
日祝:10:00 - 19:00",http://sasp.mapion.co.jp/b/doutor/info/07000116/,TRUE,FALSE,FALSE,FALSE,35.3823255,139.278127
37,カフェ コロラド 鶴見西口店,神奈川県,横浜市,鶴見区豊岡町２１‐１５,鶴見駅徒歩4分以上,045-582-4121,"平日:08:30 - 21:00
土曜日:08:30 - 21:00
日祝:09:00 - 20:00",http://sasp.mapion.co.jp/b/doutor/info/07000063/,TRUE,FALSE,FALSE,FALSE,35.5107923,139.6749292
38,カフェ コロラド 東松山店,埼玉県,東松山市,箭弓町１‐１２‐１６,東松山駅徒歩2分以上,0493-25-0035,"平日:07:30 - 20:30
土曜日:07:30 - 20:30
日祝:07:30 - 20:30",http://sasp.mapion.co.jp/b/doutor/info/07000363/,TRUE,FALSE,TRUE,FALSE,36.0365824,139.4009284
39,カフェ コロラド 藤ヶ丘店,神奈川県,横浜市,青葉区藤が丘２‐５‐２８,藤が丘駅徒歩3分以内,045-973-4447,"平日:09:00 - 21:00
土曜日:09:00 - 21:00
日祝:09:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/07000204/,TRUE,FALSE,FALSE,FALSE,35.5439224,139.5272423
40,カフェ コロラド 藤棚店,神奈川県,横浜市,西区藤棚町１‐５３,西横浜駅徒歩8分以上,045-231-9860,"平日:09:00 - 20:00
土曜日:09:00 - 20:00
日祝:09:00 - 20:00",http://sasp.mapion.co.jp/b/doutor/info/07000356/,TRUE,FALSE,FALSE,FALSE,35.450657,139.6125803
41,カフェ コロラド 南浦和店,埼玉県,さいたま市,南区南浦和２‐３６‐９白井ビル２Ｆ,南浦和駅徒歩2分以上,048-885-5087,"平日:08:00 - 22:30
土曜日:08:00 - 22:30
日祝:08:00 - 22:30",http://sasp.mapion.co.jp/b/doutor/info/07000145/,TRUE,FALSE,FALSE,FALSE,35.8482883,139.6706208
42,カフェ コロラド 南大塚店,東京都,豊島区,南大塚１‐４９‐２,大塚駅前駅徒歩4分以上,03-5395-6443,"平日:07:30 - 19:00
土曜日:-日祝:07
日祝:07:30 - 19:00",http://sasp.mapion.co.jp/b/doutor/info/07000142/,TRUE,FALSE,FALSE,FALSE,35.7295733,139.7313371
43,カフェ コロラド 日野店,東京都,日野市,日野本町３‐１１‐１０２Ｆ,日野駅徒歩1分以上,042-584-1958,"平日:09:00 - 21:00
土曜日:09:00 - 21:00
日祝:09:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/07000282/,TRUE,FALSE,FALSE,FALSE,35.679295,139.3944176
44,カフェ コロラド 入谷店,東京都,台東区,入谷１‐４‐３ライオンズマンション鴬谷,入谷駅徒歩2分以上,03-3872-0713,"平日:09:00 - 18:00
土曜日:09:00 - 18:00
日祝:09:00 - 18:00",http://sasp.mapion.co.jp/b/doutor/info/07000279/,TRUE,FALSE,FALSE,FALSE,35.7194949,139.7857574
45,カフェ コロラド 八丁堀店,東京都,中央区,八丁堀３‐２１‐３,八丁堀駅徒歩1分以上,03-3551-7519,"平日:08:00 - 21:00
土曜日:-
日祝:-",http://sasp.mapion.co.jp/b/doutor/info/07000264/,TRUE,FALSE,FALSE,FALSE,35.6749585,139.776661
46,カフェ コロラド 府中欅通り店,東京都,府中市,寿町１‐６‐２,府中競馬正門前駅徒歩11分以上,042-368-4770,"平日:09:00 - 19:30
土曜日:09:00 - 19:30
日祝:09:00 - 19:30",http://sasp.mapion.co.jp/b/doutor/info/07000087/,TRUE,FALSE,FALSE,FALSE,35.6738423,139.4788084
47,カフェ コロラド 福井駅店,福井県,福井市,中央１‐１‐２５プリズム福井１Ｆ,福井駅前駅徒歩2分以上,0776-22-6061,"平日:07:00 - 20:00
土曜日:07:00 - 20:00
日祝:07:00 - 20:00",http://sasp.mapion.co.jp/b/doutor/info/07040001/,TRUE,FALSE,FALSE,FALSE,36.0616216,136.2230312
48,カフェ コロラド 北小金店,千葉県,松戸市,小金４４２‐１４秋山ビル３Ｆ,北小金駅徒歩3分以内,047-343-5294,"平日:09:00 - 19:00
土曜日:09:00 - 19:00
日祝:09:00 - 19:00",http://sasp.mapion.co.jp/b/doutor/info/07000299/,TRUE,FALSE,FALSE,FALSE,35.8330661,139.9309032
49,カフェ コロラド 北千住西口店,東京都,足立区,千住中居町１８‐１１,北千住駅徒歩5分以上,03-3881-6331,"平日:08:00 - 22:00
土曜日:08:00 - 22:00
日祝:08:00 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/07000080/,TRUE,FALSE,FALSE,FALSE,35.7508065,139.7995058
50,カフェ コロラド 堀切菖蒲園店,東京都,葛飾区,堀切３‐３‐３,堀切菖蒲園駅徒歩1分以上,03-3695-1961,"平日:07:30 - 19:30
土曜日:07:30 - 19:30
日祝:09:00 - 19:30",http://sasp.mapion.co.jp/b/doutor/info/07000058/,TRUE,FALSE,FALSE,FALSE,35.7467103,139.8268289
51,カフェ コロラド 幕張ベイタウン店,千葉県,千葉市,美浜区打瀬２‐４パティオス１番街,海浜幕張駅徒歩10分以上,043-211-0379,"平日:08:00 - 21:00
土曜日:08:00 - 21:00
日祝:08:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/07000360/,TRUE,FALSE,FALSE,FALSE,35.6422837,140.0459213
